报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1991-12-31,1990-12-31,
净利润(扣除非经常性损益后)(万元),35352,28336,15945,59108,46167,31661,15029,53693,39923,28043,13661,-383,--,-160,--,-689,--,-800,--,-1930,--,-1241,--,-2672,--,-1347,0,-2593,--,-1893,--,-2438,0,-1614,--,-1624,0,-1565,0,-6595,0,-1685,--,-5844,0,-1669,0,-4425,0,-2008,0,-27205,-3389,-2706,0,-62712,--,-1427,0,-863,-4384,-1018,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
经营活动产生的现金流量净额(万元),19281,21493,8564,35986,21812,18445,17549,-7491,-23216,-14461,-10623,-297,-7,-131,-47,114,251,-10,32,20,6,20,-1,-17,1,-2,0,-37,1,3,7,-318,1,2,-3,-8,-0,-5,-8,2750,4883,1755,349,1370,624,-217,-395,-1074,-1028,-191,155,-194,0,-243,0,3117,--,3869,0,-2940,-4919,11399,6078,2338,-3390,--,--,--,--,--,--,--,--,0,--,--,--,--,
现金及现金等价物净增加额(万元),49929,30281,14149,25478,10663,17740,15147,-26831,-29095,-22307,-17413,-132,7,-117,-47,126,251,-10,32,20,18,32,-1,-1,1,-2,0,3,1,3,7,-7,1,2,-3,-1,-0,-5,-8,-1714,1139,-561,--,-1019,-1520,-498,-556,2556,0,-36,0,-1830,0,-1374,0,-12929,--,-529,0,-1735,-2409,3834,1108,-2523,-3980,--,--,--,--,--,--,--,--,0,--,--,--,--,
总资产(万元),742379,733050,742463,727111,726549,727940,722005,711035,685834,674825,658081,2461,5809,6466,6544,6617,6792,7027,68161,73289,4151,4172,4199,4189,4363,1699,1766,1796,2438,2429,2711,2715,2814,2788,2985,2983,2981,3892,3900,3920,26471,25421,26843,29846,36644,37922,37635,37829,36668,19251,22293,20326,30405,42050,43359,44449,142988,145044,140593,143828,156036,162068,156189,153847,204608,210791,206364,205224,193620,189115,183044,167810,153587,135201,110306,83979,--,--,
流动资产(万元),341162,338261,338555,324671,320223,325460,319155,320561,314322,314159,297294,2461,5809,6466,6544,6617,6792,7027,68161,73289,2927,2942,2957,2943,3249,305,360,375,398,374,641,632,713,672,582,565,530,1427,1420,1426,12874,11573,--,15754,0,22686,22269,22356,0,10039,--,8128,--,0,22420,23530,99188,0,97133,99789,0,113994,106045,101267,137375,108093,83979,86365,81637,83981,81739,71470,78210,70472,34205,38150,--,--,
总负债(万元),241950,240281,249443,250887,272937,281614,280551,286242,275051,277713,271303,2625,5811,6408,6408,6413,6832,6990,68237,73289,177510,176914,176302,175690,174975,175400,174787,174150,168410,167513,168501,166555,166968,166049,165355,164614,164609,169617,169526,168837,180283,179140,--,181535,0,186439,185611,184709,--,170813,--,172813,153719,141983,--,142580,--,132065,0,132132,149415,151771,146006,139516,150562,130406,129826,130429,119895,117587,108063,95198,84597,71373,-32946,69063,--,--,
流动负债(万元),167346,190795,192195,191756,213781,220050,217387,221218,223919,228393,222876,2625,5811,6408,6408,6413,6832,6990,68237,73289,104060,103465,102852,102241,101526,101951,101337,100701,99864,98967,99306,97361,97773,96855,96032,164614,164609,169617,169526,168837,180283,179140,--,181535,0,186439,185611,184709,0,170813,--,172813,--,0,142809,142580,130939,0,127227,132132,0,151878,146110,139678,150562,130406,126973,130429,117304,115161,105640,92326,83285,70495,65093,67505,--,--,
股东权益不含少数股东权益(万元),454639,447114,447000,430426,409449,400092,395154,379506,366278,353986,339259,-165,-2,58,136,204,-40,37,-76,-0,-173359,-172742,-172103,-171501,-170612,-173701,-173021,-172354,-165972,-165084,-165790,-163839,-164154,-163261,-162370,-161632,-161628,-165725,-165625,-164917,-161175,-160884,-159910,-159199,-156626,-156021,-155274,-154447,-153493,-152443,-152719,-152517,-123346,-99965,-98496,-97177,7047,7521,8269,7009,1034,5769,5233,10104,50520,77944,74904,73497,72502,70685,74441,72268,68853,63828,32946,14620,--,--,
净资产收益率加权(%),8.16,6.48,3.7,15.55,12.09,8.29,3.95,15.41,11.76,8.36,4.14,0,--,-111.61,-0.5,-105.87,--,-105.79,--,--,--,--,--,--,--,--,0,--,--,--,--,1.36,0,0,--,0,0,--,0,--,0,0,--,--,0,0,0,-0.74,0,0,0,--,0,0,0,--,--,-20.48,0,12.57,0,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
