,名字,行业,地区,流通股本,总股本(万),总资产(万),流动资产,固定资产,每股净资,市净率,上市日期,平均利润,价格,平均市盈率
2770,科迪乳业,乳制品,河南,6840.0,27340.0,194359.19,76078.0,24655.0,3.92,7.4,20150630,8513.0,20.47,66.0
300356,光一科技,电气设备,江苏,11401.0,16122.0,206102.63,116862.0,14389.0,8.14,7.0,20121009,5198.0,33.34,103.0
807,云铝股份,铝,云南,153908.0,189861.0,2813643.75,721870.0,1512064.0,2.96,2.6,19980408,-14580.0,6.07,-79.0
600021,上海电力,火力发电,上海,213974.0,213974.0,4975275.5,1023635.0,2731874.0,4.52,3.3,20031029,112979.0,11.39,22.0
592,平潭发展,林业,福建,83770.0,96589.0,242094.52,190346.0,22751.0,1.38,15.3,19960327,4197.0,15.18,349.0
300245,天玑科技,软件服务,上海,16945.0,27268.0,78856.5,65605.0,9316.0,2.53,14.6,20110719,6047.0,28.12,127.0
2761,多喜爱,纺织,湖南,3000.0,12000.0,91699.21,63229.0,3682.0,5.11,8.9,20150610,6210.0,29.66,57.0
600426,华鲁恒升,农药化肥,山东,95362.0,95362.0,1270740.88,267394.0,892371.0,7.59,2.0,20020620,58184.0,11.43,19.0
2068,黑猫股份,化工原料,江西,60706.0,60706.0,679402.56,339613.0,293175.0,3.22,2.9,20060915,7519.0,6.1,49.0
600096,云天化,农药化肥,云南,52126.0,112908.0,6599162.5,2886542.0,2001221.0,4.93,2.8,19970709,-83948.0,9.16,-12.0
600393,东华实业,全国地产,广东,29950.0,30000.0,375881.16,327495.0,8221.0,3.29,3.9,20010319,3901.0,8.44,65.0
603369,今世缘,白酒,江苏,21830.0,50180.0,523634.5,346467.0,66122.0,7.82,4.5,20140703,66787.0,27.62,21.0
2307,北新路桥,建筑施工,新疆,55730.0,55733.0,1123024.0,757491.0,54245.0,2.34,4.9,20091111,3047.0,8.44,154.0
600006,东风汽车,汽车整车,湖北,200000.0,200000.0,2040367.63,1368204.0,315633.0,3.2,2.7,19990727,7083.0,6.15,174.0
2519,银河电子,通信设备,江苏,43492.0,56955.0,334149.97,147101.0,32344.0,3.44,7.0,20101207,10893.0,18.46,97.0
2656,卡奴迪路,服饰,广东,15969.0,20000.0,267862.13,117814.0,44071.0,6.05,4.7,20120228,11369.0,17.69,31.0
600428,中远航运,水运,广东,169045.0,169045.0,1726900.38,250185.0,1209868.0,4.11,2.7,20020418,8321.0,6.93,141.0
600698,湖南天雁,汽车配件,湖南,43038.0,97182.0,118070.05,94522.0,17420.0,0.72,10.7,19931206,4573.0,5.39,115.0
600192,长城电工,电气设备,甘肃,44175.0,44175.0,443831.41,317136.0,57924.0,4.27,2.5,19981224,6563.0,7.71,52.0
600008,首创股份,环境保护,北京,220000.0,241031.0,3341565.0,1428584.0,329043.0,3.34,3.2,20000427,59760.0,7.72,31.0
600004,白云机场,机场,广东,115000.0,115000.0,1171832.88,284058.0,619876.0,8.03,1.8,20030428,91190.0,12.36,16.0
830,鲁西化工,农药化肥,山东,146398.0,146486.0,2166796.5,393233.0,1383327.0,4.7,1.5,19980807,33518.0,5.41,24.0
2725,跃岭股份,汽车配件,浙江,5296.0,16000.0,99357.0,48420.0,34354.0,5.48,4.9,20140129,9716.0,19.33,32.0
2376,新北洋,电脑设备,山东,54876.0,60000.0,295184.94,144267.0,73430.0,3.12,6.0,20100323,24626.0,13.93,34.0
