code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
300031,宝通科技,0.0,0.0,0.0,0.0,0.0,25.52,0.0,0.0,0.0,104.036,8.7,765600.0,568703.27272
300038,梅泰诺,0.0,0.0,0.0,0.0,0.0,56.68,0.0,0.0,0.0,171.758,7.872,1079362.87966,640351.006048
300043,互动娱乐,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,0.0,32.917,10.081,1965833.47358,1217771.39146
300054,鼎龙股份,0.0,0.0,0.0,0.0,0.0,24.66,0.0,0.0,0.0,79.548,8.549,1104515.498862,726793.092864
300063,天龙集团,0.0,0.0,0.0,0.0,0.0,43.33,0.0,0.0,0.0,5627.273,12.985,1259043.18974,516000.448271
300069,金利华电,0.0,0.0,0.0,0.0,0.0,29.85,0.0,0.0,0.0,229.615,7.174,349245.0,239794.3035
300071,华谊嘉信,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,45.0,5.174,616765.1769,382898.8242
300081,恒信移动,0.0,0.0,0.0,0.0,0.0,47.84,0.0,0.0,0.0,598.0,8.261,641056.0,436204.06752
300088,长信科技,0.0,0.0,0.0,0.0,0.0,14.03,0.0,0.0,0.0,43.844,4.673,1619081.919794,1367291.34908
300089,文化长城,0.0,0.0,0.0,0.0,0.0,39.53,0.0,0.0,0.0,658.833,7.438,592950.0,341967.11225
300104,乐视网,0.0,0.0,0.0,0.0,0.0,58.8,0.0,0.0,0.0,133.636,30.522,10913369.12904,6426853.63572
300116,坚瑞消防,0.0,0.0,0.0,0.0,0.0,11.45,0.0,0.0,0.0,320.728,6.107,572772.06345,279489.36582
300132,青松股份,0.0,0.0,0.0,0.0,0.0,10.04,0.0,0.0,0.0,74.205,6.562,387463.68,273885.069576
300153,科泰电源,0.0,0.0,0.0,0.0,0.0,18.94,0.0,0.0,0.0,94.7,6.508,606080.0,292618.143784
300162,雷曼股份,0.0,0.0,0.0,0.0,0.0,23.86,0.0,0.0,0.0,125.579,10.476,834592.147058,520360.563968
300220,金运激光,0.0,0.0,0.0,0.0,0.0,41.1,0.0,0.0,0.0,480.14,17.367,517860.0,276675.73878
300235,方直科技,0.0,0.0,0.0,0.0,0.0,32.83,0.0,0.0,0.0,234.5,15.126,520027.2,296880.724798
300238,冠昊生物,0.0,0.0,0.0,0.0,0.0,56.67,0.0,0.0,0.0,138.22,25.351,1399720.665,996624.563526
300247,乐金健康,0.0,0.0,0.0,0.0,0.0,20.75,0.0,0.0,0.0,262.991,5.352,745122.4985,371667.905725
300261,雅本化学,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,84.827,7.876,557214.3616,525882.5728
