代码,名字,行业,地区,市盈率,流通股本,总股本(万),总资产(万),流动资产,固定资产,公积金,每股公积金,每股收益,每股净资,市净率,上市日期,平均利润
686,东北证券,证券,吉林,11.84,174885.39,195716.59,7188239.0,0.0,69479.61,271723.44,1.39,1.141,5.47,3.29,19970227,125752.66666666667
687,华讯方舟,化纤,河北,1507.55,53166.62,75736.84,295708.72,140819.41,5802.0,76522.3,1.01,0.014,1.85,15.45,19970221,-4452.333333333333
688,建新矿业,铅锌,重庆,76.35,29603.4,113729.92,174765.69,52081.2,59510.93,18883.17,0.17,0.103,1.17,9.01,19970120,24083.0
690,宝新能源,火力发电,广东,25.54,171079.56,172661.25,981924.38,218019.8,411485.69,32908.73,0.19,0.293,2.77,3.61,19970128,87842.33333333333
691,亚太实业,区域地产,海南,0.0,29048.63,32327.0,30384.76,21277.55,2819.42,11952.96,0.37,-0.006,0.39,33.88,19970228,-671.3333333333334
692,惠天热电,供气供热,辽宁,0.0,53278.89,53283.3,418096.81,161661.27,182955.38,38082.55,0.71,-0.07,2.34,3.0,19970227,843.6666666666666
693,华泽钴镍,小金属,四川,82.95,25527.86,54349.19,612198.75,550910.06,39443.53,-3052.87,-0.06,0.177,2.75,7.12,19970226,14006.666666666666
695,滨海能源,供气供热,天津,0.0,22172.13,22214.75,102625.28,28215.14,67619.86,7612.75,0.34,-0.06,1.38,19.18,19970218,-222.33333333333334
697,炼石有色,小金属,陕西,255.85,43130.0,55968.0,162144.5,88223.7,36807.94,56684.8,1.01,0.085,2.61,11.13,19970325,6463.333333333333
698,沈阳化工,化工原料,辽宁,54.05,43235.28,81951.43,945226.63,248000.88,449492.19,134265.02,1.64,0.12,5.76,1.44,19970220,5008.333333333333
700,模塑科技,汽车配件,江苏,25.13,30904.35,35860.39,427584.06,155468.67,78566.02,55043.96,1.53,0.74,6.42,3.76,19970228,24034.333333333332
701,厦门信达,综合类,福建,97.07,28969.38,31088.4,1433195.5,1203602.25,56162.55,79862.96,2.57,0.214,8.52,3.25,19970226,15652.0
702,正虹科技,饲料,湖南,358.84,26663.32,26663.46,68296.36,28735.31,28925.6,18257.72,0.68,0.032,1.69,9.01,19970318,276.3333333333333
703,恒逸石化,化纤,广西,1184.55,115358.77,130613.27,2589522.25,1041407.69,981667.19,9156.67,0.07,0.008,4.4,2.69,19970328,2801.6666666666665
